hh_id,hh_cms_zone_gp,participation_group,signup_platform,diary_platform,num_days_complete,num_days_complete_weekday,num_days_complete_weekend,num_complete_mon,num_complete_tue,num_complete_wed,num_complete_thu,num_complete_fri,num_complete_sat,num_complete_sun,num_people,r_num_people,num_adults,num_kids,num_students,num_workers,num_vehicles,r_num_vehicles,num_trips,income_broad,primary_language,residence_type,residence_rent_own,home_county,vehicle_change,reduced_veh_1,reduced_veh_2,reduced_veh_3,reduced_veh_4,reduced_veh_5,reduced_veh_6,reduced_veh_7,reduced_veh_8,reduced_veh_997,increased_veh_1,increased_veh_2,increased_veh_3,increased_veh_4,increased_veh_5,increased_veh_6,increased_veh_7,increased_veh_8,increased_veh_997,ev_typical_charge_1,ev_typical_charge_2,ev_typical_charge_3,ev_typical_charge_4,ev_typical_charge_5,ev_typical_charge_6,ev_typical_charge_7,ev_typical_charge_997,ev_purchase,ev_purchase_barriers_1,ev_purchase_barriers_2,ev_purchase_barriers_3,ev_purchase_barriers_4,ev_purchase_barriers_5,num_bicycles,bicycle_type_1,bicycle_type_2,bicycle_type_997,bike_change,reduced_bike_1,reduced_bike_2,reduced_bike_3,reduced_bike_4,reduced_bike_5,reduced_bike_6,reduced_bike_7,reduced_bike_8,reduced_bike_997,increased_bike_1,increased_bike_2,increased_bike_3,increased_bike_4,increased_bike_5,increased_bike_6,increased_bike_7,increased_bike_8,increased_bike_9,increased_bike_997,bike_store_1,bike_store_2,bike_store_3,bike_store_4,bike_store_5,bike_store_6,bike_store_8,bike_store_9,bike_store_997,num_scooters,scooter_typical_charge_1,scooter_typical_charge_2,scooter_typical_charge_4,scooter_typical_charge_5,scooter_typical_charge_6,scooter_typical_charge_7,scooter_typical_charge_997,packages,hh_weight,new_num_people,new_num_adults,new_num_kids,new_num_vehicles,new_num_workers,new_income_broad,new_residence_type,new_num_students,new_residence_rent_own
22053697,3,1,browser,browser,1,1,0,0,1,0,0,0,0,0,5,5,3,2,0,1,0,0,1,3,1,2,2,36047,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,1,1,0,0,1,0,0,0,0,0,0,0,0,1,995,995,995,995,995,995,995,995,995,995,1,0,0,0,0,0,0,0,0,995,995,995,995,995,995,995,995,2,623.625465,5,3,2,0,1,2,2,0,2
22053705,3,1,browser,browser,1,1,0,0,0,1,0,0,0,0,3,3,3,0,0,3,1,1,2,7,1,5,2,36047,3,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,1,995,995,995,995,995,0,995,995,995,3,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,1,481.6542761,3,3,0,1,3,8,5,0,2
22053750,3,9,rmove,rmove,7,5,2,1,1,1,1,1,1,1,3,3,3,0,0,2,1,1,23,5,1,4,1,36047,3,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,1,995,995,995,995,995,1,1,0,0,1,0,0,0,0,0,0,0,1,0,995,995,995,995,995,995,995,995,995,995,0,1,0,0,0,0,0,0,0,995,995,995,995,995,995,995,995,1,640.8576757,3,3,0,1,2,5,4,0,1
22053765,3,9,rmove,rmove,7,5,2,1,1,1,1,1,1,1,2,2,2,0,0,2,1,1,26,7,1,3,2,36047,3,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,1,995,995,995,995,995,0,995,995,995,3,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,2,520.5901798,2,2,0,1,2,8,3,0,2
22053770,3,1,browser,browser,1,1,0,0,1,0,0,0,0,0,2,2,2,0,0,2,0,0,2,6,1,3,2,36047,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,0,995,995,995,3,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,1,186.8789398,2,2,0,0,2,7,3,0,2
22053871,3,1,browser,browser,1,1,0,0,1,0,0,0,0,0,2,2,2,0,0,2,1,1,6,999,1,2,1,36047,3,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,2,995,995,995,995,995,1,1,0,0,3,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,1,0,0,0,0,0,0,0,0,995,995,995,995,995,995,995,995,2,473.5614648,2,2,0,1,2,999,2,0,1
22053882,3,9,rmove,rmove,6,4,2,1,1,0,1,1,1,1,2,2,2,0,0,2,0,0,58,7,1,5,2,36047,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,0,995,995,995,3,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,3,186.8789398,2,2,0,0,2,7,5,0,2
22053902,3,9,rmove,rmove,6,5,1,1,1,1,1,1,1,0,2,2,2,0,0,2,1,1,31,5,1,3,1,36047,3,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,1,995,995,995,995,995,4,1,0,0,3,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,1,0,0,0,0,0,0,0,0,995,995,995,995,995,995,995,995,2,381.0054653,2,2,0,1,2,5,3,0,1
22053910,3,9,rmove,rmove,1,1,0,1,0,0,0,0,0,0,2,2,2,0,0,2,0,0,39,8,995,995,995,36047,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,3104.045825,2,2,0,0,2,8,995,0,995
22053987,3,9,rmove,rmove,5,4,1,1,1,1,0,1,0,1,2,2,2,0,0,2,1,1,35,999,1,1,1,36047,3,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,0,0,0,0,0,0,0,1,995,995,995,995,995,995,2,0,0,1,3,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,1,0,0,0,0,0,0,0,0,995,995,995,995,995,995,995,995,2,381.0054653,2,2,0,1,2,8,1,0,1
22054001,3,9,rmove,rmove,7,5,2,1,1,1,1,1,1,1,2,2,2,0,0,1,1,1,27,4,1,1,2,36047,2,995,995,995,995,995,995,995,995,995,0,0,0,0,0,0,0,1,0,995,995,995,995,995,995,995,995,3,0,1,0,0,0,1,0,1,0,3,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1156.897675,2,2,0,1,1,3,1,0,2
22054002,3,9,rmove,rmove,7,5,2,1,1,1,1,1,1,1,2,2,2,0,0,2,0,0,47,5,1,4,2,36047,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,1,0,1,0,3,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,0,1,0,0,0,0,0,0,0,995,995,995,995,995,995,995,995,1,1304.345199,2,2,0,0,2,5,4,0,2
22054049,3,9,rmove,rmove,7,5,2,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,71,5,1,4,2,36047,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,1,1,0,0,2,995,995,995,995,995,995,995,995,995,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,995,995,995,995,995,995,995,995,1,630.3611926,1,1,0,0,1,5,4,0,2
22054081,3,9,rmove,rmove,6,4,2,1,1,1,0,1,1,1,4,4,3,1,1,2,2,2,88,3,1,3,2,36047,3,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,2,995,995,995,995,995,0,995,995,995,3,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,6,305.1839293,4,3,1,2,2,2,3,1,2
22054084,3,1,browser,browser,1,1,0,0,1,0,0,0,0,0,2,2,2,0,0,2,0,0,4,6,1,5,2,36047,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,2,1,0,0,3,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,1,0,0,0,0,0,0,0,0,995,995,995,995,995,995,995,995,3,1629.976512,2,2,0,0,2,7,5,0,2
22054086,3,9,rmove,rmove,6,4,2,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,46,5,1,4,1,36047,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,0,995,995,995,3,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,1,678.2608036,1,1,0,0,1,5,4,0,1
22054119,3,9,rmove,rmove,7,5,2,1,1,1,1,1,1,1,2,2,2,0,1,1,0,0,50,2,1,3,2,36047,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,2,1,0,0,3,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,1,0,1,0,0,1,0,0,0,995,995,995,995,995,995,995,995,2,230.293402,2,2,0,0,1,1,3,1,2
22054155,3,3,browser,rmove,7,5,2,1,1,1,1,1,1,1,5,5,2,3,0,2,1,1,52,7,1,5,1,36047,3,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,2,995,995,995,995,995,6,1,1,0,3,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,0,0,0,0,1,0,0,0,0,995,995,995,995,995,995,995,995,1,886.5370468,5,2,3,1,2,8,5,0,1
22054163,3,9,rmove,rmove,1,1,0,0,0,1,0,0,0,0,3,3,3,0,0,3,0,0,36,4,995,995,995,36047,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,1788.640199,3,3,0,0,3,3,995,0,995
22054203,3,9,rmove,rmove,7,5,2,1,1,1,1,1,1,1,2,2,2,0,0,2,1,1,28,7,1,4,1,36047,2,995,995,995,995,995,995,995,995,995,0,0,0,0,0,1,1,0,0,995,995,995,995,995,995,995,995,2,995,995,995,995,995,2,1,0,0,2,995,995,995,995,995,995,995,995,995,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,995,995,995,995,995,995,995,995,1,2740.450328,2,2,0,1,2,8,4,0,1
22054206,3,9,rmove,rmove,6,5,1,1,1,1,1,1,0,1,2,2,2,0,0,0,1,1,17,2,1,4,2,36047,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,1,1,0,0,1,0,0,0,0,0,0,0,0,1,995,995,995,995,995,995,995,995,995,995,1,0,0,0,0,0,0,0,0,995,995,995,995,995,995,995,995,1,4656.793019,2,2,0,1,0,1,4,0,2
22054216,3,9,rmove,rmove,5,3,2,1,0,0,1,1,1,1,2,2,2,0,1,2,0,0,39,5,1,5,2,36047,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,1,1,0,0,3,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,1,0,0,0,0,0,0,0,0,995,995,995,995,995,995,995,995,1,921.2094323,2,2,0,0,2,5,5,1,2
22054258,3,3,browser,rmove,7,5,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,11,1,1,4,2,36047,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,0,995,995,995,3,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,1,692.7380031,1,1,0,0,0,1,1,0,1
22054267,7,9,rmove,rmove,7,5,2,1,1,1,1,1,1,1,2,2,2,0,0,1,0,0,94,3,1,5,2,36081,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,1,1,0,0,3,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,1,0,0,0,0,0,0,0,0,995,995,995,995,995,995,995,995,2,1725.658947,2,2,0,0,1,2,5,0,2
22054311,3,9,rmove,rmove,7,5,2,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,45,4,1,4,2,36047,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,1,1,0,0,2,995,995,995,995,995,995,995,995,995,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,995,995,995,995,995,995,995,995,1,771.9782409,1,1,0,0,1,3,4,0,2
22054498,3,9,rmove,rmove,5,4,1,1,1,1,1,0,0,1,4,4,2,2,0,1,1,1,53,2,2,4,2,36047,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,0,995,995,995,3,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,6,3665.609298,4,2,2,1,1,1,4,0,2
22054528,3,9,rmove,rmove,4,4,0,0,1,1,1,1,0,0,3,3,2,1,0,1,0,0,19,1,1,4,2,36047,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,1,1,0,0,1,0,1,0,0,0,0,0,0,0,995,995,995,995,995,995,995,995,995,995,0,0,1,0,0,0,0,0,0,995,995,995,995,995,995,995,995,5,540.0325099,3,2,1,0,1,1,4,0,2
22054556,3,3,browser,rmove,2,2,0,0,0,1,1,0,0,0,6,5,3,3,2,1,0,0,11,1,995,995,995,36047,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,3419.974512,6,3,2,0,1,1,995,3,995
22054738,3,5,call,call,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,3,5,1,5,2,36047,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,0,995,995,995,3,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,1,3944.406574,1,1,0,0,0,5,5,0,2
